id,id_curva,indicador_codigo,sexo_codigo,edad_valor,percentil_codigo,percentil,valor
414,1,BMI,M,88,P75,75.0,16.603
415,1,BMI,M,88,P85,85.0,17.233
416,1,BMI,M,88,P90,90.0,17.692
417,1,BMI,M,88,P95,95.0,18.428
418,1,BMI,M,88,P97,97.0,18.945
419,1,BMI,M,88,P99,99.0,20.021
420,1,BMI,M,88,P999,99.9,22.243
421,1,BMI,M,89,P01,0.1,12.232
422,1,BMI,M,89,P1,1.0,12.897
423,1,BMI,M,89,P3,3.0,13.326
424,1,BMI,M,89,P5,5.0,13.567
425,1,BMI,M,89,P10,10.0,13.958
426,1,BMI,M,89,P15,15.0,14.238
427,1,BMI,M,89,P25,25.0,14.675
428,1,BMI,M,89,P50,50.0,15.581
429,1,BMI,M,89,P75,75.0,16.631
430,1,BMI,M,89,P85,85.0,17.265
431,1,BMI,M,89,P90,90.0,17.729
432,1,BMI,M,89,P95,95.0,18.472
433,1,BMI,M,89,P97,97.0,18.996
434,1,BMI,M,89,P99,99.0,20.086
435,1,BMI,M,89,P999,99.9,22.346
436,1,BMI,M,90,P01,0.1,12.244
437,1,BMI,M,90,P1,1.0,12.909
438,1,BMI,M,90,P3,3.0,13.339
439,1,BMI,M,90,P5,5.0,13.58
440,1,BMI,M,90,P10,10.0,13.972
441,1,BMI,M,90,P15,15.0,14.253
442,1,BMI,M,90,P25,25.0,14.692
443,1,BMI,M,90,P50,50.0,15.602
444,1,BMI,M,90,P75,75.0,16.658
445,1,BMI,M,90,P85,85.0,17.298
446,1,BMI,M,90,P90,90.0,17.766
447,1,BMI,M,90,P95,95.0,18.517
448,1,BMI,M,90,P97,97.0,19.047
449,1,BMI,M,90,P99,99.0,20.151
450,1,BMI,M,90,P999,99.9,22.45
451,1,BMI,M,91,P01,0.1,12.257
452,1,BMI,M,91,P1,1.0,12.922
453,1,BMI,M,91,P3,3.0,13.352
454,1,BMI,M,91,P5,5.0,13.594
455,1,BMI,M,91,P10,10.0,13.987
456,1,BMI,M,91,P15,15.0,14.268
457,1,BMI,M,91,P25,25.0,14.709
458,1,BMI,M,91,P50,50.0,15.624
459,1,BMI,M,91,P75,75.0,16.686
460,1,BMI,M,91,P85,85.0,17.332
461,1,BMI,M,91,P90,90.0,17.803
462,1,BMI,M,91,P95,95.0,18.562
463,1,BMI,M,91,P97,97.0,19.098
464,1,BMI,M,91,P99,99.0,20.218
465,1,BMI,M,91,P999,99.9,22.557
