id_ingrediente,energia_kcal,agua_g,alcohol_g,proteinas_g,hidratos_carbono_g,almidon_g,azucares_sencillos_g,azucares_libres_g,fibra_vegetal_g,grasa_total_g,ags_g,agm_g,agp_g,colesterol_mg,vitamina_a_eq_retinol_ug,retinol_ug,carotenoides_eq_beta_caroteno_ug,vit_d_ug,vit_e_eq_alpha_tocoferol_mg,vit_k_ug,vitamina_b1_mg,vitamina_b2_mg,eq_niacina_mg,vit_b6_mg,eq_folato_dietetico_ug,vit_b12_ug,pantotenico_mg,biotina_ug,vit_c_mg,calcio_mg,fosforo_mg,hierro_mg,iodo_ug,cinc_mg,magnesio_mg,sodio_mg,potasio_mg,manganeso_mg,cobre_mg,selenio_ug,omega3_g,tipo_omega3,grasas_trans_g,polifenoles_mg,probioticos_billones_ufc
32,259.0,36.1,0.0,10.9,44.0,39.5,4.5,0.0,6.0,3.0,0.54,0.41,1.2,0.0,0.0,0.0,0.0,0.0,0.18,3.4,0.34,0.09,5.5,0.12,39.0,0.0,0.65,3.5,0.0,54.0,200.0,2.7,1.0,1.8,76.0,361.0,230.0,1.9,0.25,35.0,0.1,ALA,0.0,215.7,0.0
33,385.0,7.0,0.0,13.0,62.0,58.0,4.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.33,0.0,2.0,0.0,0.2,3.0,0.34,0.1,7.0,0.14,46.0,0.0,0.7,7.0,0.0,63.0,230.0,3.2,0.0,2.1,89.0,538.0,270.0,2.2,0.3,41.0,0.1,ALA,0.0,195.0,0.0
34,242.0,43.9,0.0,4.3,42.3,38.7,3.5,0.0,4.3,5.2,0.98,2.0,0.52,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.38,0.51,2.8,0.073,36.0,0.0,0.0,0.0,0.0,138.0,51.0,2.6,0.0,0.48,12.0,447.0,75.0,0.0,0.075,0.4,0.02,ALA,0.0,10.0,0.0
35,271.0,36.2,0.0,7.5,47.5,45.2,2.3,0.0,4.1,4.7,1.0,1.4,1.3,0.0,0.01,0.01,0.0,0.0,0.26,3.0,0.32,0.14,2.5,0.1,26.0,0.91,0.3,1.0,0.0,211.0,150.0,2.3,2.6,1.8,34.0,400.0,110.0,0.5,0.13,28.0,0.03,ALA,0.8,15.0,0.0
36,524.0,5.2,0.0,10.2,46.9,46.3,0.6,0.0,6.2,31.5,4.4,21.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.5,ALA,0.0,20.0,0.0
37,305.0,27.7,0.0,8.0,56.6,49.9,2.1,0.0,3.2,4.5,0.75,3.2,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,3.4,0.06,48.0,0.0,0.0,0.0,0.0,130.0,78.2,2.3,19.0,0.7,31.0,550.0,110.0,0.0,0.0,28.0,0.06,ALA,0.0,35.0,0.0
38,371.0,7.9,0.0,11.0,75.6,71.6,4.0,0.0,3.5,2.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,0.0,0.0,0.0,0.0,0.03,ALA,0.2,15.0,0.0
39,377.0,4.2,0.0,12.8,77.4,77.4,0.0,0.0,5.0,0.64,0.12,0.089,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.078,3.5,0.11,20.0,0.0,0.0,0.0,0.0,24.0,170.0,1.1,0.0,0.83,44.0,10.0,166.0,0.0,0.0,0.0,0.02,ALA,0.0,10.0,0.0
40,359.0,9.7,0.0,12.8,70.9,68.3,2.6,0.0,5.0,1.6,0.23,0.19,0.65,0.0,0.0,0.0,0.0,0.0,0.13,0.5,0.09,0.06,4.4,0.11,18.0,0.0,0.43,0.0,0.0,24.0,150.0,1.8,10.0,1.2,48.0,7.0,236.0,0.69,0.25,62.2,0.02,ALA,0.0,12.0,0.0
41,374.0,9.3,0.0,12.4,69.9,64.5,1.9,0.0,3.4,4.2,0.9,1.5,0.4,30.0,63.0,63.0,0.0,0.13,0.21,0.5,0.17,0.073,3.4,0.06,22.0,0.2,0.3,1.0,0.0,23.0,153.0,3.0,0.0,1.3,42.0,17.0,219.0,0.64,0.2,20.0,0.05,ALA/DHA,0.0,15.0,0.0
