id,punto_id,sd5neg,sd4neg,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3,sd4,fuente_archivo
164,164,,12.444000,13.576000,14.708000,15.952000,17.318000,18.822000,20.479000,22.307000,24.135000,bfa-boys-zscore-expanded-tables.xlsx
165,165,,12.447000,13.579000,14.711000,15.954000,17.320000,18.823000,20.480000,22.309000,24.137000,bfa-boys-zscore-expanded-tables.xlsx
166,166,,12.451000,13.582000,14.714000,15.956000,17.322000,18.825000,20.482000,22.311000,24.140000,bfa-boys-zscore-expanded-tables.xlsx
167,167,,12.454000,13.585000,14.716000,15.958000,17.324000,18.827000,20.484000,22.313000,24.143000,bfa-boys-zscore-expanded-tables.xlsx
168,168,,12.457000,13.588000,14.718000,15.960000,17.325000,18.828000,20.486000,22.315000,24.145000,bfa-boys-zscore-expanded-tables.xlsx
169,169,,12.460000,13.590000,14.721000,15.962000,17.327000,18.830000,20.487000,22.317000,24.147000,bfa-boys-zscore-expanded-tables.xlsx
170,170,,12.463000,13.593000,14.723000,15.964000,17.328000,18.831000,20.489000,22.319000,24.150000,bfa-boys-zscore-expanded-tables.xlsx
171,171,,12.467000,13.596000,14.725000,15.965000,17.330000,18.833000,20.490000,22.321000,24.152000,bfa-boys-zscore-expanded-tables.xlsx
172,172,,12.470000,13.598000,14.727000,15.967000,17.331000,18.834000,20.492000,22.323000,24.154000,bfa-boys-zscore-expanded-tables.xlsx
173,173,,12.473000,13.601000,14.729000,15.969000,17.333000,18.835000,20.493000,22.324000,24.156000,bfa-boys-zscore-expanded-tables.xlsx
174,174,,12.476000,13.603000,14.731000,15.970000,17.334000,18.836000,20.494000,22.326000,24.158000,bfa-boys-zscore-expanded-tables.xlsx
175,175,,12.478000,13.606000,14.733000,15.972000,17.335000,18.837000,20.495000,22.327000,24.159000,bfa-boys-zscore-expanded-tables.xlsx
176,176,,12.481000,13.608000,14.735000,15.973000,17.336000,18.838000,20.496000,22.328000,24.161000,bfa-boys-zscore-expanded-tables.xlsx
177,177,,12.484000,13.610000,14.737000,15.975000,17.337000,18.839000,20.497000,22.330000,24.162000,bfa-boys-zscore-expanded-tables.xlsx
178,178,,12.487000,13.612000,14.738000,15.976000,17.338000,18.840000,20.498000,22.331000,24.164000,bfa-boys-zscore-expanded-tables.xlsx
179,179,,12.489000,13.615000,14.740000,15.977000,17.339000,18.840000,20.498000,22.332000,24.165000,bfa-boys-zscore-expanded-tables.xlsx
180,180,,12.491000,13.616000,14.741000,15.978000,17.340000,18.841000,20.499000,22.333000,24.167000,bfa-boys-zscore-expanded-tables.xlsx
181,181,,12.494000,13.618000,14.743000,15.979000,17.341000,18.842000,20.500000,22.334000,24.168000,bfa-boys-zscore-expanded-tables.xlsx
182,182,,12.496000,13.620000,14.744000,15.980000,17.341000,18.842000,20.500000,22.335000,24.169000,bfa-boys-zscore-expanded-tables.xlsx
183,183,,12.499000,13.622000,14.746000,15.981000,17.342000,18.843000,20.501000,22.335000,24.170000,bfa-boys-zscore-expanded-tables.xlsx
184,184,,12.501000,13.624000,14.747000,15.982000,17.342000,18.843000,20.501000,22.336000,24.171000,bfa-boys-zscore-expanded-tables.xlsx
185,185,,12.503000,13.626000,14.748000,15.983000,17.343000,18.843000,20.501000,22.336000,24.171000,bfa-boys-zscore-expanded-tables.xlsx
186,186,,12.505000,13.627000,14.749000,15.984000,17.343000,18.844000,20.502000,22.337000,24.173000,bfa-boys-zscore-expanded-tables.xlsx
